YEAR,MONTH,DAY,CAUSE_CODE,LATITUDE,LONGITUDE,PRIMARY_MAGNITUDE,COUNTRY,EVENT_VALIDITY
1562,10.0,28.0,1.0,-38.7,-73.5,8.0,CHILE,3
1570,2.0,8.0,1.0,-36.75,-73,8.3,CHILE,3
1575,12.0,16.0,1.0,-39.8,-73.2,8.5,CHILE,3
1615,9.0,16.0,1.0,-18.5,-70.35,7.5,CHILE,2
1657,3.0,15.0,1.0,-36.83,-73.03,8.0,CHILE,3
1681,3.0,10.0,1.0,-18.5,-70.35,7.5,CHILE,1
1687,7.0,12.0,1.0,-32.8,-70.7,7.5,CHILE,1
1730,7.0,8.0,1.0,-32.5,-71.5,9.1,CHILE,4
1737,12.0,24.0,1.0,-43,-74,8.0,CHILE,1
1751,5.0,25.0,1.0,-37,-73,8.5,CHILE,4
1819,4.0,12.0,1.0,-27,-71.5,8.5,CHILE,4
1822,11.0,20.0,1.0,-33,-72,8.5,CHILE,4
1835,2.0,20.0,1.0,-36.83,-73.03,8.2,CHILE,4
1836,7.0,3.0,1.0,-22.6,-70.3,7.5,CHILE,2
1837,11.0,7.0,1.0,-42.5,-74,8.5,CHILE,4
1849,11.0,17.0,1.0,-29.95,-71.37,7.5,CHILE,4
1851,5.0,26.0,1.0,-27.35,-70.35,7.2,CHILE,2
1858,4.0,24.0,1.0,-30,-71.4,6.5,CHILE,2
1859,10.0,5.0,1.0,-27.35,-70.35,7.6,CHILE,4
1868,8.0,13.0,1.0,-18.6,-71,8.5,CHILE,4
1868,8.0,14.0,1.0,-18.6,-71,8.5,CHILE,4
1869,8.0,21.0,1.0,-21,-70,6.8,CHILE,1
1869,8.0,24.0,1.0,-19.6,-70.23,7.5,CHILE,3
1871,3.0,25.0,1.0,-35,-72.5,7.5,CHILE,2
1877,5.0,10.0,1.0,-21.5,-70.5,8.3,CHILE,4
1878,1.0,23.0,1.0,-19.92,-70335,7.9,CHILE,1
1880,8.0,15.0,1.0,-31.62,-71.18,7.7,CHILE,1
1898,7.0,23.0,1.0,-36.83,-73.03,6.5,CHILE,1
1903,12.0,7.0,1.0,-28.5,-71,6.5,CHILE,3
1906,8.0,17.0,1.0,-33,-72,8.2,CHILE,3
1909,6.0,8.0,1.0,-26.5,-70.5,7.6,CHILE,0
1911,9.0,15.0,1.0,-20,-72,7.3,CHILE,2
1918,5.0,20.0,1.0,-28.5,-71.5,7.9,CHILE,2
1918,12.0,4.0,1.0,-26,-71,7.8,CHILE,4
1920,8.0,20.0,1.0,-38,-73.5,7.0,CHILE,3
1922,11.0,7.0,1.0,-28,-72,7.0,CHILE,2
1922,11.0,11.0,1.0,-28553,-70755,8.7,CHILE,4
1923,5.0,4.0,1.0,-28.75,-71.75,7.0,CHILE,-1
1925,5.0,15.0,1.0,-26,-71.5,7.1,CHILE,2
1926,12.0,9.0,1.0,-28,-71,6.0,CHILE,2
1927,11.0,21.0,1.0,-44.6,-73,7.1,CHILE,3
1928,11.0,20.0,1.0,-22.5,-70.5,7.1,CHILE,2
1928,12.0,1.0,1.0,-35,-72,7.6,CHILE,3
1930,12.0,29.0,1.0,-28.5,-71,6.0,CHILE,2
1931,3.0,18.0,1.0,-32.5,-72,7.1,CHILE,2
1933,2.0,23.0,1.0,-20,-71,7.6,CHILE,1
1934,12.0,4.0,1.0,-19.5,-69.5,6.9,CHILE,1
1936,7.0,13.0,1.0,-24.5,-70,7.3,CHILE,4
1939,1.0,25.0,1.0,-36.25,-72.25,8.3,CHILE,1
1939,4.0,18.0,1.0,-27,-70.5,7.4,CHILE,1
1940,10.0,4.0,1.0,-22,-71,7.3,CHILE,1
1940,10.0,11.0,1.0,-41.5,-74.5,7.0,CHILE,1
1943,4.0,6.0,1.0,-30.75,-72,8.2,CHILE,4
1946,8.0,2.0,1.0,-26.5,-70.5,7.9,CHILE,2
1948,12.0,26.0,1.0,-22.5,-69,7.0,CHILE,3
1949,4.0,20.0,1.0,-38,-73.5,7.3,CHILE,2
1949,12.0,17.0,1.0,-54,-71,7.8,CHILE,1
1949,12.0,17.0,1.0,-54,-71,7.8,CHILE,2
1950,1.0,30.0,1.0,-53.5,-71.5,7.0,CHILE,1
1953,5.0,6.0,1.0,-36.5,-72.5,7.6,CHILE,1
1955,4.0,19.0,1.0,-30,-72,7.1,CHILE,4
1956,1.0,8.0,1.0,-19,-70,7.1,CHILE,1
1956,12.0,18.0,1.0,-25.5,-71,7.0,CHILE,1
1957,7.0,29.0,1.0,-23.5,-71.5,7.0,CHILE,1
1960,5.0,21.0,1.0,-37872,-73243,8.2,CHILE,4
1960,5.0,22.0,1.0,-38143,-73407,9.5,CHILE,4
1960,11.0,1.0,1.0,-38.5,-75.1,7.4,CHILE,1
1961,10.0,18.0,1.0,-36.7,-73,6.5,CHILE,1
1965,2.0,23.0,1.0,-25.67,-70.63,7.0,CHILE,1
1965,3.0,22.0,1.0,-31.81,-71.26,6.0,CHILE,1
1965,10.0,3.0,1.0,-42.9,-75.13,6.5,CHILE,2
1966,12.0,28.0,1.0,-25.5,-70.7,7.8,CHILE,4
1967,11.0,15.0,1.0,-28.78,-71.19,5.9,CHILE,1
1967,12.0,21.0,1.0,-21.7,-69.5,7.5,CHILE,3
1970,6.0,14.0,1.0,-52,-73.8,6.0,CHILE,2
1970,6.0,19.0,1.0,-22.28,-70.55,6.4,CHILE,2
1970,11.0,28.0,1.0,-20.94,-69.81,6.0,CHILE,2
1971,7.0,9.0,1.0,-32.5,-71.2,7.8,CHILE,4
1972,6.0,8.0,1.0,-30.5,-71.8,6.6,CHILE,2
1972,12.0,29.0,1.0,-30.6,-71,5.4,CHILE,2
1973,10.0,5.0,1.0,-32.5,-71.5,6.7,CHILE,4
1974,8.0,18.0,1.0,-38.5,-73.4,7.1,CHILE,1
1975,3.0,13.0,1.0,-29.9,-71.3,6.9,CHILE,1
1983,10.0,4.0,1.0,-26535,-70563,7.7,CHILE,4
1985,3.0,3.0,1.0,-33132,-71708,8.0,CHILE,4
1987,3.0,5.0,1.0,-24388,-70161,7.6,CHILE,4
1988,2.0,5.0,1.0,-24753,-70433,7.2,CHILE,4
1995,7.0,30.0,1.0,-23.34,-70294,8.0,CHILE,4
1995,11.0,1.0,1.0,-28906,-71417,6.7,CHILE,4
1996,9.0,5.0,1.0,-22118,-113436,6.9,CHILE,4
2007,4.0,21.0,3.0,-45285,-72606,6.2,CHILE,4
2007,11.0,14.0,1.0,-22247,-69.89,7.7,CHILE,4
2010,2.0,27.0,1.0,-36122,-72898,8.8,CHILE,4
2010,3.0,11.0,1.0,-34.29,-71891,6.9,CHILE,4
2011,2.0,11.0,1.0,-36474,-73125,6.8,CHILE,4
2014,3.0,16.0,1.0,-19965,-70814,6.7,CHILE,4
2014,4.0,1.0,1.0,-19.61,-70769,8.2,CHILE,4
2014,4.0,3.0,1.0,-20571,-70493,7.7,CHILE,4
2014,10.0,9.0,1.0,-32108,-110811,7.0,CHILE,4
2015,9.0,16.0,1.0,-31573,-71674,8.3,CHILE,4
2015,11.0,11.0,1.0,-29.46,-72.12,6.9,CHILE,4
2016,12.0,25.0,1.0,-43517,-74391,7.6,CHILE,4
2017,4.0,24.0,1.0,-33073,-72051,6.9,CHILE,4
2019,6.0,14.0,1.0,-30056,-72082,6.4,CHILE,4
