YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,CAUSE_CODE,FOCAL_DEPTH,LATITUDE,LONGITUDE,PRIMARY_MAGNITUDE,COUNTRY,EVENT_VALIDITY
2000,5.0,4.0,4.0,21.0,16.2,1.0,26.0,-1105,123573,7.6,INDONESIA,4
2000,6.0,18.0,14.0,44.0,13.3,1.0,10.0,-13802,97453,7.9,AUSTRALIA,4
2000,7.0,1.0,7.0,1.0,55.5,1.0,10.0, HONSHU,34221,6.1,JAPAN,4
2000,7.0,15.0,1.0,30.0,30.5,1.0,10.0,34319,139.26,6.1,JAPAN,4
2000,7.0,30.0,12.0,25.0,45.5,1.0,10.0,33901,139376,6.5,JAPAN,4
2000,11.0,16.0,4.0,54.0,55.9,1.0,17.0,-4001,152327,8.0,PAPUA NEW GUINEA,4
2001,6.0,23.0,20.0,33.0,14.1,1.0,33.0,-16265,-73641,8.4,PERU,4
2001,10.0,12.0,5.0,2.0,34.0,1.0,20.0,52.63,-132.2,6.1,CANADA,4
2001,12.0,18.0,4.0,2.0,58.2,1.0,14.0,23954,122734,6.8,TAIWAN,4
2002,1.0,2.0,17.0,22.0,48.7,1.0,21.0,-17.6,167856,7.2,VANUATU,4
2002,3.0,5.0,21.0,16.0,9.1,1.0,31.0, PHILIPPINES,6033,7.5,PHILIPPINES,4
2002,3.0,31.0,6.0,52.0,50.4,1.0,33.0,24279,122179,7.1,TAIWAN,4
2002,9.0,8.0,18.0,44.0,25.5,1.0,13.0,-3.26,142.94,7.6,PAPUA NEW GUINEA,4
2002,9.0,13.0,22.0,28.0,29.4,1.0,21.0, INDIA,13036,6.5,INDIA,4
2003,1.0,20.0,8.0,43.0,6.0,1.0,33.0,-10491,160.77,7.3,SOLOMON ISLANDS,4
2003,1.0,22.0,2.0,6.0,34.6,1.0,24.0,18.77,-104104,7.5,MEXICO,4
2003,5.0,21.0,18.0,44.0,20.1,1.0,12.0,36964,3634,6.8,ALGERIA,4
2003,5.0,27.0,17.0,11.0,28.8,1.0,8.0,36939,3578,5.7,ALGERIA,4
2003,9.0,25.0,19.0,50.0,6.3,1.0,27.0,41815,143.91,8.3,JAPAN,4
2003,10.0,31.0,1.0,6.0,28.2,1.0,10.0,37812,142619,7.0,JAPAN,4
2003,11.0,17.0,6.0,43.0,6.8,1.0,33.0, ALEUTIAN ISLANDS, AK,7.8,USA,4
2003,12.0,27.0,4.0,55.0,25.4,1.0,10.0,-22107,169.35,6.1,NEW CALEDONIA,4
2004,1.0,28.0,22.0,15.0,30.7,1.0,17.0,-3.12,127.4,6.7,INDONESIA,4
2004,2.0,11.0,8.0,15.0,3.8,1.0,27.0,31675,35551,5.3,JORDAN,4
2004,9.0,5.0,10.0,7.0,7.8,1.0,14.0,33.07,136618,7.2,JAPAN,4
2004,9.0,5.0,14.0,57.0,18.6,1.0,10.0,33184,137071,7.4,JAPAN,4
2004,11.0,2.0,10.0,2.0,12.8,1.0,10.0,49277,-128772,6.6,CANADA,4
2004,11.0,11.0,21.0,26.0,41.1,1.0,10.0,-8152,124868,7.5,INDONESIA,4
2004,11.0,21.0,11.0,41.0,7.7,1.0,14.0, LES SAINTES,15679,6.3,GUADELOUPE (FRENCH TERRITORY),4
2004,11.0,22.0,20.0,26.0,23.9,1.0,10.0,-46676,164721,7.1,NEW ZEALAND,4
2004,11.0,28.0,18.0,32.0,14.1,1.0,39.0,43006,145119,7.0,JAPAN,4
2004,12.0,23.0,14.0,59.0,4.4,1.0,10.0,-49312,161345,8.1,AUSTRALIA,4
2004,12.0,26.0,0.0,58.0,53.4,1.0,30.0,3316,95854,9.1,INDONESIA,4
2005,1.0,19.0,6.0,11.0,36.4,1.0,28.0,34064,141491,6.6,JAPAN,4
2005,3.0,28.0,16.0,9.0,36.5,1.0,30.0,2085,97108,8.6,INDONESIA,4
2005,4.0,10.0,10.0,29.0,11.2,1.0,19.0,-1644,99607,6.7,INDONESIA,4
2005,6.0,15.0,2.0,50.0,53.1,1.0,10.0,41301,-125.97,7.2,USA,4
2005,8.0,16.0,2.0,46.0,28.4,1.0,36.0,38276,142039,7.2,JAPAN,4
2005,11.0,14.0,21.0,38.0,51.4,1.0,11.0,38107,144896,7.0,JAPAN,4
2006,3.0,14.0,6.0,57.0,33.8,1.0,30.0,-3595,127214,6.7,INDONESIA,4
2006,5.0,3.0,15.0,26.0,40.2,1.0,55.0,-20187,-174123,8.0,TONGA,4
2006,7.0,17.0,8.0,19.0,28.7,1.0,34.0,-9254,107411,7.7,INDONESIA,4
2006,9.0,28.0,6.0,22.0,9.7,1.0,28.0,-16592,-172033,6.9,SAMOA,4
2006,10.0,15.0,17.0,7.0,49.2,1.0,39.0,19878,-155935,6.7,USA,4
2006,11.0,15.0,11.0,14.0,13.5,1.0,10.0,46592,153266,8.3,RUSSIA,4
2006,12.0,26.0,12.0,26.0,21.4,1.0,10.0,21799,120547,7.0,CHINA,4
2007,1.0,13.0,4.0,23.0,21.1,1.0,10.0,46243,154524,8.1,RUSSIA,4
2007,3.0,25.0,0.0,40.0,1.6,1.0,34.0,-20617,169357,7.1,VANUATU,4
2007,3.0,25.0,0.0,41.0,57.8,1.0,8.0,37336,136588,6.7,JAPAN,4
2007,4.0,1.0,20.0,39.0,56.3,1.0,10.0,-8.46,157044,8.1,SOLOMON ISLANDS,4
2007,7.0,16.0,1.0,13.0,22.0,1.0,10.0,37.57,138478,6.6,JAPAN,4
2007,8.0,2.0,2.0,37.0,42.3,1.0,5.0,47116,141798,6.2,RUSSIA,4
2007,8.0,2.0,3.0,21.0,42.8,1.0,21.0, AK,51307,6.7,USA,4
2007,8.0,15.0,23.0,40.0,57.8,1.0,39.0,-13386,-76603,8.0,PERU,4
2007,9.0,2.0,1.0,5.0,18.1,1.0,35.0,-11.61,165762,7.2,SOLOMON ISLANDS,4
2007,9.0,12.0,11.0,10.0,26.8,1.0,34.0,-4438,101367,8.4,INDONESIA,4
2007,9.0,30.0,5.0,23.0,34.0,1.0,10.0,-49418,163954,7.4,NEW ZEALAND,4
2007,11.0,14.0,15.0,40.0,50.5,1.0,40.0,-22247,-69.89,7.7,CHILE,4
2007,12.0,9.0,7.0,28.0,20.8,1.0,153.0,-25996,-177514,7.8,KERMADEC ISLANDS,4
2008,2.0,25.0,8.0,36.0,33.0,1.0,25.0,-2486,99972,6.5,INDONESIA,4
2008,4.0,9.0,12.0,46.0,12.7,1.0,35.0,-20071,168892,7.3,NEW CALEDONIA,4
2008,7.0,19.0,2.0,39.0,28.7,1.0,22.0,37552,142214,6.9,JAPAN,4
2008,9.0,11.0,0.0,20.0,50.9,1.0,25.0,41892,143754,6.8,JAPAN,4
2008,11.0,16.0,17.0,2.0,32.7,1.0,30.0,1271,122091,7.3,INDONESIA,4
2009,1.0,3.0,19.0,43.0,50.6,1.0,17.0,-.414,132885,7.6,INDONESIA,4
2009,1.0,15.0,17.0,49.0,39.0,1.0,36.0,46857,155154,7.4,RUSSIA,4
2009,2.0,11.0,17.0,34.0,50.8,1.0,22.0,3884,126397,7.2,INDONESIA,4
2009,3.0,19.0,18.0,17.0,40.9,1.0,34.0,-23046,-174659,7.6,TONGA,4
2009,5.0,28.0,8.0,24.0,45.0,1.0,10.0,16.72,-86236,7.3,HONDURAS,4
2009,7.0,1.0,9.0,30.0,10.4,1.0,19.0,34164,25471,6.4,GREECE,4
2009,7.0,15.0,9.0,22.0,29.0,1.0,12.0,-45762,166562,7.8,NEW ZEALAND,4
2009,8.0,10.0,20.0,7.0,9.1,1.0,40.0,34743,138264,6.4,JAPAN,4
2009,8.0,16.0,7.0,38.0,21.7,1.0,20.0,-1479,99.49,6.7,INDONESIA,4
2009,9.0,29.0,17.0,48.0,10.9,1.0,18.0,-15489,-172095,8.1,SAMOA,4
2009,9.0,30.0,10.0,16.0,9.2,1.0,81.0,-.72,99867,7.5,INDONESIA,4
2009,10.0,7.0,22.0,3.0,14.4,1.0,45.0,-13006,166.51,7.6,VANUATU,4
2010,1.0,3.0,21.0,48.0,5.3,1.0,26.0,-8743,157477,6.6,SOLOMON ISLANDS,4
2010,1.0,3.0,22.0,36.0,27.9,1.0,25.0,-8799,157346,7.1,SOLOMON ISLANDS,4
2010,1.0,5.0,12.0,15.0,32.2,1.0,15.0,-9019,157551,6.8,SOLOMON ISLANDS,4
2010,2.0,27.0,6.0,34.0,11.5,1.0,23.0,-36122,-72898,8.8,CHILE,4
2010,3.0,11.0,14.0,39.0,43.9,1.0,11.0,-34.29,-71891,6.9,CHILE,4
2010,4.0,6.0,22.0,15.0,1.5,1.0,31.0,2383,97048,7.8,INDONESIA,4
2010,6.0,12.0,19.0,26.0,50.4,1.0,35.0,7881,91936,7.5,INDIA,4
2010,8.0,10.0,5.0,23.0,44.9,1.0,25.0,-17541,168069,7.2,VANUATU,4
2010,8.0,13.0,21.0,19.0,33.0,1.0,10.0, MARIANA ISLANDS,12484,6.9,USA TERRITORY,4
2010,10.0,25.0,14.0,42.0,22.0,1.0,20.0,-3487,100082,7.8,INDONESIA,4
2010,12.0,21.0,17.0,19.0,40.6,1.0,14.0,26901,143698,7.4,JAPAN,4
2010,12.0,25.0,13.0,16.0,37.0,1.0,16.0,-19702,167947,7.3,VANUATU,4
2011,1.0,9.0,10.0,3.0,44.2,1.0,24.0,-19157,168311,6.5,VANUATU,4
2011,2.0,11.0,20.0,5.0,30.7,1.0,28.0,-36474,-73125,6.8,CHILE,4
2011,3.0,9.0,2.0,45.0,20.3,1.0,32.0,38435,142842,7.5,JAPAN,4
2011,3.0,11.0,5.0,46.0,24.1,1.0,30.0,38297,142372,9.1,JAPAN,4
2011,4.0,7.0,14.0,32.0,43.2,1.0,42.0,38276,141588,7.1,JAPAN,4
2011,6.0,24.0,3.0,9.0,39.4,1.0,52.0, ALEUTIAN ISLANDS, AK,7.3,USA,4
2011,7.0,6.0,19.0,3.0,18.2,1.0,17.0,-29539,-176.34,7.6,NEW ZEALAND,4
2011,7.0,10.0,0.0,57.0,10.8,1.0,23.0,38034,143264,7.0,JAPAN,4
2011,8.0,20.0,16.0,55.0,2.5,1.0,32.0,-18365,168143,7.1,VANUATU,4
2011,8.0,20.0,18.0,19.0,23.5,1.0,28.0,-18311,168218,7.0,VANUATU,4
2011,9.0,2.0,10.0,55.0,53.5,1.0,32.0, ALEUTIAN ISLANDS, AK,6.8,USA,4
2011,10.0,21.0,17.0,57.0,16.1,1.0,33.0,-28993,-176238,7.4,NEW ZEALAND,4
2012,2.0,2.0,13.0,34.0,40.6,1.0,23.0,-17827,167133,7.0,VANUATU,4
2012,3.0,14.0,9.0,8.0,35.1,1.0,12.0,40887,144944,6.9,JAPAN,4
2012,3.0,20.0,18.0,2.0,47.4,1.0,20.0,16493,-98231,7.4,MEXICO,4
2012,4.0,11.0,8.0,38.0,36.7,1.0,20.0,2327,93063,8.6,INDONESIA,4
2012,4.0,11.0,10.0,43.0,10.8,1.0,25.0,.802,92463,8.2,INDONESIA,4
2012,4.0,14.0,22.0,5.0,26.4,1.0,11.0,-18972,168741,6.3,VANUATU,4
2012,8.0,27.0,4.0,37.0,19.4,1.0,28.0,12139,-88.59,7.3,EL SALVADOR,4
2012,8.0,31.0,12.0,47.0,33.3,1.0,28.0,10811,126638,7.6,PHILIPPINES,4
2012,9.0,5.0,14.0,42.0,7.8,1.0,35.0,10085,-85315,7.6,COSTA RICA,4
2012,10.0,28.0,3.0,4.0,8.8,1.0,14.0,52788,-132101,7.7,CANADA,4
2012,11.0,7.0,16.0,35.0,46.9,1.0,24.0,13988,-91895,7.3,GUATEMALA,4
2012,12.0,7.0,8.0,18.0,23.1,1.0,31.0,37.89,143949,7.2,JAPAN,4
2013,1.0,5.0,8.0,58.0,19.3,1.0,10.0, AK,55393,7.5,USA,4
2013,2.0,6.0,1.0,12.0,25.8,1.0,24.0,-10766,165114,7.9,SOLOMON ISLANDS,4
2013,2.0,8.0,15.0,26.0,38.4,1.0,21.0,-10928,166018,7.0,SOLOMON ISLANDS,4
2013,7.0,21.0,5.0,9.0,31.4,1.0,17.0,-41704,174337,6.5,NEW ZEALAND,4
2013,8.0,16.0,2.0,31.0,47.0,1.0,10.0,-41731,174027,6.5,NEW ZEALAND,4
2013,10.0,25.0,17.0,10.0,0.0,1.0,10.0,37.2,144.6,7.1,JAPAN,4
2013,11.0,17.0,9.0,4.0,53.0,1.0,10.0,-60274,-46401,7.7,ANTARCTICA,4
2014,3.0,16.0,21.0,16.0,0.0,1.0,21.0,-19965,-70814,6.7,CHILE,4
2014,4.0,1.0,23.0,46.0,26.0,1.0,25.0,-19.61,-70769,8.2,CHILE,4
2014,4.0,3.0,2.0,43.0,11.0,1.0,22.0,-20571,-70493,7.7,CHILE,4
2014,4.0,12.0,20.0,14.0,3.0,1.0,23.0,-11.27,162148,7.6,SOLOMON ISLANDS,4
2014,4.0,13.0,12.0,36.0,23.0,1.0,39.0,-11463,162051,7.4,SOLOMON ISLANDS,4
2014,4.0,18.0,14.0,28.0,32.0,1.0,24.0,17397,-100972,7.2,MEXICO,4
2014,4.0,19.0,13.0,29.0,21.0,1.0,43.0,-6755,155024,7.5,PAPUA NEW GUINEA,4
2014,6.0,23.0,19.0,20.0,34.0,1.0,20.0, KERMADEC ISLANDS,-29977,6.9,NEW ZEALAND,4
2014,6.0,23.0,20.0,53.0,7.0,1.0,109.0, AK,51849,7.9,USA,4
2014,7.0,11.0,19.0,23.0,22.0,1.0,20.0,37005,142453,6.5,JAPAN,4
2014,7.0,25.0,10.0,55.0,12.0,1.0,10.0, AK,58306,6.1,USA,4
2014,10.0,9.0,2.0,14.0,44.0,1.0,16.0,-32108,-110811,7.0,CHILE,4
2014,10.0,14.0,3.0,51.0,46.0,1.0,40.0,12526,-88123,7.3,EL SALVADOR,4
2015,2.0,16.0,23.0,6.0,27.0,1.0,23.0,39856,142881,6.7,JAPAN,4
2015,2.0,19.0,13.0,18.0,32.0,1.0,10.0,-16431,168148,6.4,VANUATU,4
2015,3.0,29.0,23.0,48.0,1.0,1.0,41.0,-4729,152562,7.5,PAPUA NEW GUINEA,4
2015,7.0,10.0,4.0,12.0,54.0,1.0,12.0,-9307,158403,6.7,SOLOMON ISLANDS,4
2015,7.0,18.0,2.0,28.0,22.0,1.0,11.0,-10401,165141,7.0,SOLOMON ISLANDS,4
2015,7.0,27.0,4.0,49.0,0.0,1.0,23.0, ALEUTIAN ISLANDS, AK,6.9,USA,4
2015,9.0,16.0,22.0,55.0,26.0,1.0,22.0,-31573,-71674,8.3,CHILE,4
2015,11.0,11.0,1.0,54.0,0.0,1.0,33.0,-29.46,-72.12,6.9,CHILE,4
2015,11.0,13.0,20.0,51.0,3.0,1.0,12.0,31001,128873,6.7,JAPAN,4
2016,3.0,2.0,12.0,49.0,11.0,1.0,24.0,-4952,94.33,7.8,INDONESIA,4
2016,4.0,16.0,23.0,58.0,0.0,1.0,17.0,.35,-80.16,7.8,ECUADOR,4
2016,8.0,12.0,1.0,26.0,28.0,1.0,16.0,-22477,173117,7.2,NEW CALEDONIA,4
2016,9.0,1.0,16.0,37.0,3.0,1.0,19.0,-37359,179146,7.0,NEW ZEALAND,4
2016,11.0,13.0,11.0,2.0,34.0,1.0,15.0,-42737,173054,7.8,NEW ZEALAND,4
2016,11.0,21.0,20.0,59.0,27.0,1.0,9.0,37393,141387,6.9,JAPAN,4
2016,11.0,24.0,18.0,43.0,0.0,1.0,33.0,11.96,-88835,6.9,NICARAGUA,4
2016,12.0,8.0,17.0,38.0,28.0,1.0,40.0,-10681,161327,7.8,SOLOMON ISLANDS,4
2016,12.0,9.0,19.0,11.0,24.0,1.0,20.0,-10749,161132,6.9,SOLOMON ISLANDS,4
2016,12.0,17.0,10.0,51.0,5.0,1.0,95.0,-4505,153522,7.9,PAPUA NEW GUINEA,4
2016,12.0,25.0,14.0,22.0,0.0,1.0,30.0,-43517,-74391,7.6,CHILE,4
2017,1.0,3.0,21.0,53.0,7.0,1.0,12.0,-19373,176052,6.9,FIJI,4
2017,1.0,22.0,4.0,31.0,36.0,1.0,135.0,-6246,155172,7.9,PAPUA NEW GUINEA,4
2017,4.0,24.0,21.0,38.0,26.0,1.0,25.0,-33073,-72051,6.9,CHILE,4
2017,4.0,28.0,20.0,23.0,17.0,1.0,26.0, PHILIPPINES,5516,6.9,PHILIPPINES,4
2017,5.0,1.0,12.0,31.0,54.0,1.0,2.0, AK,59844,6.2,USA,4
2017,6.0,12.0,12.0,28.0,38.0,1.0,10.0,38932,26364,6.3,GREECE,4
2017,7.0,17.0,23.0,34.0,13.0,1.0,11.0,54472,168815,7.7,RUSSIA,4
2017,7.0,20.0,22.0,31.0,12.0,1.0,10.0,36949,27458,6.7,TURKEY,4
2017,9.0,8.0,4.0,49.0,19.0,1.0,47.0,15022,-93899,8.2,MEXICO,4
2017,10.0,31.0,0.0,42.0,6.0,1.0,11.0,-21.66,169203,6.8,NEW CALEDONIA,4
2017,11.0,1.0,2.0,23.0,56.0,1.0,10.0,-21.63,168884,6.6,NEW CALEDONIA,4
2017,11.0,19.0,22.0,43.0,29.0,1.0,10.0,-21334,168683,7.0,NEW CALEDONIA,4
2018,1.0,10.0,2.0,51.0,31.0,1.0,10.0,17474,-83519,7.5,HONDURAS,4
2018,1.0,14.0,9.0,18.0,45.0,1.0,36.0,-15776,-74744,7.1,PERU,4
2018,1.0,23.0,9.0,31.0,42.0,1.0,25.0, AK,56046,7.9,USA,4
2018,8.0,5.0,11.0,46.0,37.0,1.0,31.0,-8287,116452,6.9,INDONESIA,4
2018,8.0,19.0,0.0,19.0,37.0,1.0,563.0,-18178,-178111,8.2,FIJI,4
2018,8.0,29.0,3.0,51.0,56.0,1.0,27.0,-22066,170.05,7.1,NEW CALEDONIA,4
2018,10.0,25.0,22.0,54.0,51.0,1.0,14.0,37506,20563,6.8,GREECE,4
2018,12.0,5.0,4.0,18.0,8.0,1.0,10.0,-21969,169446,7.5,NEW CALEDONIA,4
2019,6.0,14.0,0.0,19.0,12.0,1.0,11.0,-30056,-72082,6.4,CHILE,4
2019,6.0,15.0,22.0,55.0,2.0,1.0,34.0, KERMADEC ISLANDS,-30805,7.2,NEW ZEALAND,4
2019,6.0,18.0,13.0,22.0,19.0,1.0,12.0,38646,139472,6.4,JAPAN,4
